Decision,Hand Strength,Pot,Already Bet,Call Difference,Players
4,13,775,200,0,2
0,7,250,100,0,5
1,124,250,100,0,6
1,13,300,200,-200,2
0,10,250,100,0,3
0,13,250,100,0,5
1,13,250,100,0,6
2,13,825,225,0,3
3,13,1549,225,137,3
2,13,1911,587,-225,3
2,126,1911,587,-225,3
0,408,750,150,100,4
0,8,250,100,0,4
0,11,250,100,0,6
1,6,300,200,-200,2
3,108,475,150,75,3
2,312,650,325,-100,2
2,312,650,325,-100,2
2,622,650,325,-100,2
1,622,1950,325,975,2
0,10,300,150,-50,3
0,10,250,100,0,5
1,12,250,100,0,6
1,13,250,150,-50,2
0,10,250,100,0,3
1,13,250,100,0,4
2,13,600,225,0,2
4,13,600,225,0,2
2,13,850,225,0,2
0,13,250,100,0,6
1,122,450,200,0,2
1,13,250,100,0,3
0,8,250,100,0,4
1,126,250,100,0,5
3,4,375,200,-75,2
2,12,500,325,-200,2
3,12,750,325,-75,2
2,12,1000,575,-325,2
4,12,1000,575,-325,2
0,10,500,150,100,3
1,106,250,100,0,3
3,106,1600,225,900,2
4,106,2500,1125,0,2
1,106,250,100,0,4
2,216,550,200,0,2
4,216,550,200,0,2
2,216,662,200,0,2
0,11,250,100,0,6
3,106,425,200,-25,2
2,106,600,375,-200,2
3,106,750,375,-200,2
2,208,900,525,-350,2
